,age,income,frq,rcn,mnt,clothes,kitchen,small_appliances,toys,house_keeping,dependents,per_net_purchase,gender,education,status,description
42,1979,45434,12,14,90,52,2,36,3,7,1,59,F,2nd Cycle,Married,Meh...
43,1954,86313,26,31,1018,39,7,38,4,11,0,25,M,Graduation,Married,OK nice!
44,1979,36908,6,47,25,84,1,13,1,1,1,41,F,Graduation,Together,Kind of OK
45,1986,42773,11,2,84,71,0,27,1,1,1,52,F,Graduation,Married,Kind of OK
46,1940,113980,38,73,1854,34,14,33,18,1,0,17,F,1st Cycle,Divorced,Take my money!!
47,1964,80555,15,41,298,75,2,17,2,3,1,54,M,Graduation,Married,Kind of OK
48,1965,72287,24,53,719,40,11,20,6,22,0,44,M,2nd Cycle,Single,OK nice!
49,1995,25634,13,25,46,9,30,26,2,33,1,71,F,1st Cycle,Married,OK nice!
50,1986,52879,18,36,263,53,5,30,6,5,1,73,M,Graduation,Together,Kind of OK
51,1986,58656,11,99,122,12,7,50,19,12,1,55,M,2nd Cycle,Single,Kind of OK
52,1968,64259,19,69,493,88,0,10,1,1,1,34,M,Graduation,Divorced,Meh...
53,1950,85140,25,28,899,40,4,35,8,13,0,32,M,1st Cycle,Single,OK nice!
54,1946,96070,29,6,1280,41,2,49,4,4,0,17,F,PhD,Married,OK nice!
55,1984,18759,10,14,31,48,4,36,8,4,1,55,M,Graduation,Single,OK nice!
56,1993,35696,15,19,153,9,44,33,12,2,1,67,F,2nd Cycle,Married,OK nice!
57,1953,87438,25,30,830,35,6,15,21,23,1,30,M,1st Cycle,Married,Meh...
58,1983,43155,18,4,299,60,0,27,8,5,1,60,M,1st Cycle,Single,OK nice!
59,1940,101058,35,33,1605,47,10,39,3,2,0,21,F,Graduation,Married,OK nice!
60,1978,52447,15,83,187,74,3,17,2,5,1,64,M,Graduation,Married,OK nice!
61,1968,,14,90,184,95,1,3,1,0,1,59,F,2nd Cycle,Married,Meh...
62,1987,38151,12,47,71,45,7,46,1,1,1,60,F,Master,Single,Kind of OK
63,1954,91907,33,45,1537,57,7,18,7,11,0,14,F,Graduation,Together,Take my money!!
64,1957,71922,27,38,767,61,12,14,12,0,1,54,F,Master,Widow,OK nice!
65,1992,38407,11,6,49,13,26,23,16,22,1,69,M,1st Cycle,Single,OK nice!
66,1974,53415,9,49,35,72,1,23,1,3,1,65,M,PhD,Married,OK nice!
67,1981,60457,9,73,63,37,2,51,6,3,,57,M,PhD,Married,Meh...
68,1953,83842,30,26,1213,42,11,41,5,2,1,25,M,Graduation,Single,OK nice!
69,1985,62311,12,86,148,68,1,27,3,1,1,54,M,PhD,Married,Kind of OK
70,1944,116259,28,35,1279,17,6,54,3,20,0,11,M,Graduation,,OK nice!
71,1968,72860,7,44,89,51,5,21,15,8,1,40,M,2nd Cycle,Married,OK nice!
72,1976,51581,10,84,56,53,5,34,6,3,1,61,F,Graduation,Married,Meh...
73,1967,75274,16,67,263,88,3,6,1,2,,66,M,Graduation,Single,Kind of OK
74,1994,27321,8,16,20,27,20,25,15,12,0,41,M,1st Cycle,Single,Meh...
75,1977,52802,20,41,338,66,1,29,2,2,1,70,F,Graduation,Together,Meh...
76,1946,84107,21,35,711,39,3,51,4,4,0,21,M,Graduation,Married,OK nice!
77,1992,50847,12,69,74,12,21,37,1,28,1,66,M,Graduation,Single,Meh...
78,1957,79899,30,43,1083,70,5,13,2,9,1,30,M,2nd Cycle,Together,OK nice!
79,1940,100752,22,48,779,63,7,19,7,4,1,34,M,1st Cycle,Married,Meh...
80,1981,59365,28,90,775,23,2,52,23,0,1,67,M,1st Cycle,Single,OK nice!
81,1973,57886,13,59,118,81,2,15,1,1,1,60,F,Graduation,Single,OK nice!
82,1955,63886,13,89,301,74,2,22,2,1,1,24,F,Master,Widow,Kind of OK
83,1968,72804,15,85,221,66,6,21,6,1,1,54,M,Graduation,Together,Meh...
84,1967,70162,19,95,538,64,4,21,5,6,0,37,M,2nd Cycle,Single,OK nice!
85,1994,15463,12,75,45,16,10,22,48,4,1,60,M,1st Cycle,Single,Kind of OK
86,1963,90240,21,8,600,91,0,8,0,1,1,44,F,PhD,Married,Kind of OK
87,1986,35844,10,12,40,61,2,34,1,2,1,65,M,Graduation,Married,Kind of OK
88,1967,62290,16,38,302,86,0,12,1,1,1,47,M,Master,Married,Kind of OK
89,1985,55137,8,75,56,71,3,21,1,4,1,44,F,PhD,Single,Meh...
90,1974,58088,9,70,42,59,5,26,9,1,1,67,M,Graduation,Married,Kind of OK
91,1986,40645,10,1,48,66,1,26,1,6,1,64,M,Master,Single,OK nice!
92,1940,97204,42,74,1976,54,7,38,0,1,0,18,M,Graduation,Together,Take my money!!
93,1969,47267,7,98,34,84,1,12,2,1,1,46,M,PhD,Married,OK nice!
94,1936,98143,21,29,780,24,12,42,18,4,0,23,F,2nd Cycle,Married,Kind of OK
95,1939,101642,43,54,2039,31,9,50,0,10,0,14,M,1st Cycle,Married,Take my money!!
96,1954,94496,25,71,950,39,1,35,13,12,1,28,F,2nd Cycle,Together,Kind of OK
97,1947,103498,30,53,1155,85,2,10,2,1,1,48,M,Graduation,Widow,Take my money!!
98,1990,21958,10,30,26,21,3,29,17,30,1,58,F,Graduation,Single,Meh...
99,1993,24589,11,98,29,18,21,30,16,15,1,72,M,1st Cycle,Single,Meh...
100,1991,10000,10,12,34,10,32,37,2,20,0,64,M,Graduation,Single,Kind of OK
101,1994,33111,14,19,181,62,8,17,7,7,1,37,M,1st Cycle,Together,OK nice!
102,1981,63453,9,78,54,40,8,28,10,13,1,48,M,Graduation,Together,OK nice!
103,1960,69431,8,77,74,81,1,17,0,1,1,54,M,Graduation,Divorced,OK nice!
104,1937,127392,47,92,2412,20,9,56,13,2,0,12,M,Graduation,Married,OK nice!
105,1983,56646,7,373,20,19,16,47,2,16,1,59,F,Graduation,Married,Meh...
106,1951,108597,31,21,1340,57,7,30,0,6,1,28,F,Graduation,Single,OK nice!
107,1989,48600,9,74,47,45,10,37,6,3,1,61,F,Graduation,,Kind of OK
108,1962,66027,6,310,19,80,0,12,5,3,1,50,M,Graduation,Widow,Kind of OK
109,1956,79072,28,81,1020,41,6,42,6,5,1,31,F,Master,Together,Take my money!!
110,1938,117796,39,32,1983,53,9,28,3,7,0,10,M,Graduation,Together,OK nice!
111,1987,45267,9,11,42,60,1,33,3,4,1,63,M,Graduation,Together,Kind of OK
112,1982,48368,25,93,597,58,5,28,7,3,1,65,F,Graduation,Married,Kind of OK
113,1945,105286,41,15,1983,36,9,45,8,2,0,15,M,Master,Married,OK nice!
114,1959,74216,33,1,1284,54,0,32,6,7,1,27,F,Graduation,Divorced,Take my money!!
115,1964,82702,36,28,1346,82,5,12,1,1,1,47,M,Graduation,Married,OK nice!
116,1954,78683,21,31,770,67,2,25,1,5,0,18,M,Master,Single,OK nice!
117,1953,96657,27,90,1079,63,3,18,6,9,1,22,M,Graduation,Together,OK nice!
118,1943,96314,25,8,1015,15,13,34,25,13,0,19,M,2nd Cycle,Together,OK nice!
119,1969,69083,10,37,64,81,4,11,0,3,1,57,M,2nd Cycle,Married,OK nice!
120,1936,100096,36,52,1722,50,7,24,9,9,0,11,M,2nd Cycle,Widow,OK nice!
121,1977,51493,11,56,224,50,8,20,12,10,0,26,M,Graduation,Married,Kind of OK
122,1962,57696,9,30,35,84,1,13,1,1,1,68,M,Graduation,Together,Meh...
123,1987,40112,8,300,18,32,13,34,7,14,1,57,F,2nd Cycle,Married,OK nice!
124,1937,117551,45,91,2226,37,14,36,11,2,0,15,F,Graduation,Together,Take my money!!
125,1942,105123,33,84,1531,37,2,49,7,5,0,17,F,Graduation,Widow,OK nice!
126,1963,78676,9,39,91,93,0,6,0,1,1,53,F,Graduation,Divorced,OK nice!
127,1953,100096,28,83,1145,51,3,27,0,19,1,20,M,2nd Cycle,Single,OK nice!
128,1985,55637,12,92,42,32,15,36,5,12,1,88,M,Graduation,Together,Meh...
129,1958,73488,28,64,1026,60,7,23,2,8,1,26,F,Graduation,Single,Take my money!!
130,1949,104547,37,16,1728,38,1,31,5,25,0,19,F,2nd Cycle,Together,Take my money!!
131,1944,120329,33,27,1601,74,2,22,1,1,0,10,M,Graduation,Single,OK nice!
132,1992,52819,12,23,148,24,8,41,20,6,0,51,M,Graduation,Single,OK nice!
133,1970,65224,7,21,63,83,1,15,1,0,1,42,M,PhD,Divorced,Kind of OK
134,1960,88404,34,56,1212,90,1,8,1,1,1,51,M,2nd Cycle,Married,OK nice!
135,1964,65582,10,92,65,86,0,12,1,1,1,66,M,Master,Single,Meh...
136,1953,95316,22,49,715,40,3,37,20,0,1,44,M,Master,Married,Kind of OK
137,1960,67192,11,53,180,90,1,8,1,1,1,36,F,Graduation,Together,OK nice!
138,1964,69016,23,48,542,88,1,10,1,0,1,60,M,Master,Single,Meh...
139,1982,55832,23,74,538,39,1,56,1,3,1,47,M,Graduation,Together,OK nice!
140,1984,44929,8,134,19,24,18,42,1,16,1,67,M,Graduation,Single,Meh...
141,1967,74329,28,55,825,49,7,36,0,7,0,56,F,Graduation,Married,OK nice!
142,1977,60350,10,67,89,47,7,29,3,14,1,46,M,Graduation,Married,Kind of OK
143,1948,94214,23,68,962,36,6,27,10,21,0,12,M,Graduation,Married,OK nice!
144,1988,29821,13,29,54,33,14,30,13,11,1,78,M,1st Cycle,Single,OK nice!
145,1947,86417,22,81,653,45,0,19,21,15,1,41,M,2nd Cycle,Widow,Kind of OK
146,1970,60716,17,95,339,86,1,12,1,1,1,45,M,PhD,Together,Kind of OK
147,1973,70965,10,11,120,70,3,21,3,3,1,46,M,Graduation,,Meh...
148,1947,100270,16,52,537,63,2,32,2,0,0,12,F,Graduation,Divorced,OK nice!
149,1965,63887,21,72,538,94,0,5,0,0,1,47,M,Graduation,Widow,OK nice!
150,1985,40125,11,79,40,29,8,42,7,15,1,66,F,Graduation,Married,Meh...
151,1941,101972,32,84,1414,24,27,36,11,2,0,20,F,1st Cycle,Together,Take my money!!
152,1972,71996,27,52,765,39,25,13,16,7,0,52,M,2nd Cycle,Together,OK nice!
153,1989,43284,11,39,93,78,1,16,1,3,1,54,M,Graduation,Single,Kind of OK
154,1950,92753,36,8,1411,79,1,19,1,1,1,44,F,Master,Married,OK nice!
155,1972,61649,10,89,64,82,2,14,1,0,1,54,F,Graduation,Divorced,Kind of OK
156,1956,75961,13,3,261,43,15,22,14,7,1,35,M,2nd Cycle,Married,Meh...
157,1979,65043,8,48,42,56,2,38,2,2,1,51,M,Graduation,Together,Kind of OK
158,1996,33397,7,99,30,10,16,11,18,45,1,41,M,1st Cycle,Widow,OK nice!
159,1945,86238,22,47,764,34,3,50,6,6,0,25,M,Master,Single,Kind of OK
160,1973,44301,10,44,53,47,3,44,3,3,1,48,M,Graduation,Single,Kind of OK
161,1946,94717,27,66,1212,60,7,26,2,5,0,12,M,Graduation,Married,OK nice!
162,1969,69954,22,12,494,87,1,10,1,1,1,61,F,Graduation,Together,Meh...
163,1960,97623,21,90,593,80,2,11,5,2,1,55,F,Graduation,Divorced,Kind of OK
164,1964,54582,16,77,256,91,1,8,0,0,1,52,F,Master,Married,Meh...
165,1940,102529,25,92,1022,69,1,28,1,1,0,18,F,PhD,Divorced,OK nice!
166,1996,31351,10,11,34,7,11,13,32,37,1,73,M,1st Cycle,Single,Kind of OK
167,1954,78591,20,48,658,62,3,30,2,3,1,20,M,PhD,Divorced,Meh...
168,1985,37250,6,31,26,53,3,31,5,7,1,49,M,Graduation,Together,OK nice!
169,1959,76329,10,50,217,46,2,15,13,25,1,24,F,1st Cycle,Married,Meh...
170,1983,41672,11,15,52,29,4,55,5,7,1,68,M,Graduation,Married,Meh...
171,1975,70908,25,33,768,83,0,14,2,1,1,41,M,Master,Single,Meh...
172,1977,51478,7,89,47,22,23,10,15,30,,40,M,Graduation,Single,Kind of OK
173,1962,80250,29,21,888,90,0,9,0,0,1,57,F,Master,Widow,OK nice!
174,1969,55691,22,31,488,62,6,27,5,0,1,59,F,1st Cycle,Single,Meh...
175,1995,29745,11,40,48,8,21,36,7,28,1,55,M,1st Cycle,Single,Kind of OK
176,1952,87179,18,62,496,41,15,29,12,2,1,29,M,Graduation,Divorced,Meh...
177,1949,101969,31,72,1404,27,17,33,18,6,0,20,F,Graduation,Married,OK nice!
178,1963,74695,16,23,306,84,0,14,0,1,1,50,M,Master,Single,Kind of OK
179,1974,81488,28,26,833,77,1,22,0,0,1,59,M,Graduation,Married,Take my money!!
180,1964,73665,8,81,119,82,1,16,1,0,1,46,F,Graduation,Together,Kind of OK
181,1987,51209,10,59,93,60,2,34,2,3,1,42,F,Graduation,Married,Kind of OK
182,1949,95236,20,26,590,36,21,30,2,11,1,47,F,Graduation,Together,OK nice!
183,1939,124801,48,47,2526,57,5,29,7,2,0,7,M,Master,Married,OK nice!
184,1970,50648,13,46,90,68,3,27,0,2,1,72,M,Graduation,Divorced,OK nice!
185,1989,48015,12,18,63,30,5,48,11,6,1,71,M,2nd Cycle,Single,OK nice!
186,1972,61042,19,11,347,68,0,28,3,1,1,61,F,Graduation,Married,Meh...
187,1974,61365,13,76,149,67,1,25,4,3,1,49,M,Graduation,Single,Kind of OK
188,1972,40840,10,67,44,63,4,28,3,1,1,57,M,2nd Cycle,Married,Kind of OK
189,1986,36825,11,84,36,12,12,38,7,31,1,63,F,1st Cycle,Together,OK nice!
190,1954,99504,15,98,338,21,14,17,15,33,1,44,F,2nd Cycle,Married,Kind of OK
191,1961,73278,33,55,1209,95,0,5,0,0,1,36,M,PhD,Married,Take my money!!
192,1944,94293,24,48,1024,72,2,20,3,3,0,10,M,Graduation,Together,Meh...
193,1988,28901,10,48,31,22,21,27,15,15,1,68,F,Graduation,Together,OK nice!
194,1973,68560,11,30,92,78,5,15,2,0,1,66,M,Graduation,Single,OK nice!
195,1960,70465,22,67,549,89,0,10,1,0,1,45,M,Graduation,Single,Kind of OK
196,1936,129947,36,52,1795,38,6,25,5,25,0,14,M,2nd Cycle,Married,Take my money!!
197,1992,36103,13,2,118,12,31,33,14,10,1,55,M,Graduation,Married,Kind of OK
198,1990,25100,14,96,117,22,16,39,3,20,,50,F,Graduation,Single,Meh...
199,1988,57319,13,10,154,24,6,50,12,8,1,59,F,Graduation,Single,Meh...
200,1970,63622,22,9,536,62,6,19,7,6,0,54,M,Graduation,Single,Kind of OK
201,1955,92992,22,55,834,54,13,28,2,3,1,23,F,2nd Cycle,Married,OK nice!
202,1982,71679,10,99,64,37,19,32,6,6,1,71,F,Graduation,Married,Kind of OK
203,1983,50382,12,50,90,45,2,45,4,4,1,75,M,Graduation,Together,Meh...
204,1939,111889,41,12,1980,26,11,37,16,10,0,15,M,Graduation,Married,OK nice!
205,1959,79717,23,1,779,51,8,26,12,3,1,28,M,Graduation,Married,Meh...
206,1973,62409,27,87,831,79,1,19,1,1,0,50,M,Master,Single,OK nice!
207,1976,57092,19,19,298,40,10,39,6,5,1,60,M,Graduation,Married,Meh...
208,1987,43545,10,27,119,37,10,41,3,9,1,38,M,Graduation,Together,Meh...
209,1950,99829,31,30,1210,76,0,22,1,1,0,36,M,PhD,Married,Take my money!!
210,1977,39912,9,76,17,68,2,28,0,2,1,74,M,Master,Married,Meh...
211,1938,109776,40,89,1977,42,3,49,2,4,0,13,F,Graduation,Married,Take my money!!
212,1964,84748,18,14,433,82,0,16,1,1,1,48,M,2nd Cycle,Single,Meh...
213,1950,96941,46,71,2042,81,1,17,1,0,1,33,M,Master,Married,Take my money!!
214,1967,74970,20,79,446,81,1,14,2,2,1,49,M,Graduation,Single,OK nice!
215,1957,77583,17,3,483,50,9,27,10,4,1,28,F,Graduation,Married,Kind of OK
216,1956,78371,37,30,1414,64,2,28,3,3,1,42,F,2nd Cycle,Single,Take my money!!
217,1953,88600,24,36,826,37,15,31,11,6,0,30,F,2nd Cycle,Together,Meh...
218,1950,106486,19,12,714,10,14,39,20,17,,26,M,Graduation,Married,OK nice!
219,1939,90885,28,54,1220,47,11,31,10,1,0,15,M,2nd Cycle,Married,Take my money!!
220,1951,88011,19,44,599,29,23,28,12,9,0,36,M,2nd Cycle,Single,Meh...
221,1994,22670,9,37,33,9,16,38,12,25,,56,M,1st Cycle,Single,Meh...
222,1960,97510,33,51,1336,64,7,23,2,4,1,41,F,Graduation,Widow,OK nice!
223,1962,69233,11,91,118,84,0,15,0,0,1,51,M,Master,Single,OK nice!
224,1965,85496,28,32,960,42,11,35,11,1,1,51,F,Graduation,Together,OK nice!
225,1947,95093,27,82,1213,23,33,17,21,6,0,14,M,1st Cycle,Married,OK nice!
226,1992,27201,11,84,41,15,1,31,15,38,1,66,M,Graduation,Together,Kind of OK
227,1996,21075,11,9,29,7,41,17,5,30,1,69,F,1st Cycle,Single,OK nice!
228,1957,73330,17,3,440,35,5,46,7,7,1,34,M,Master,Divorced,Kind of OK
229,1940,117504,39,19,1731,73,2,23,1,1,0,47,M,Master,Widow,OK nice!
230,1941,113663,31,48,1205,79,2,12,0,7,1,44,M,Graduation,Together,OK nice!
231,1951,82472,16,24,396,82,0,13,2,3,1,35,F,Master,Together,Kind of OK
232,1953,96620,31,88,1405,61,7,20,7,5,1,17,F,Graduation,Together,Take my money!!
233,1961,75049,34,53,1205,71,2,22,2,2,0,53,M,Master,Married,Take my money!!
234,1996,19228,6,81,10,8,9,26,22,34,0,59,M,1st Cycle,Single,Meh...
235,1979,71283,18,91,484,50,2,24,13,11,0,35,F,Graduation,Divorced,OK nice!
236,1955,100800,24,45,885,26,17,37,8,13,1,25,M,2nd Cycle,Married,Meh...
237,1940,103687,31,40,1206,84,1,14,1,1,1,36,M,Graduation,Together,OK nice!
238,1978,61476,7,371,14,79,6,9,4,3,1,56,M,PhD,Divorced,OK nice!
239,1937,104585,34,34,1532,36,16,30,13,6,0,29,M,1st Cycle,Single,OK nice!
240,1992,29911,11,25,44,11,28,25,5,31,1,70,M,Graduation,Single,Kind of OK
241,1980,38569,12,19,68,43,5,48,3,1,1,60,M,Graduation,Married,Meh...
242,1957,83040,23,75,651,64,3,28,3,3,1,43,F,2nd Cycle,Married,OK nice!
243,1975,41124,7,43,27,90,0,9,1,0,1,51,F,PhD,Married,Meh...
244,1942,95428,29,57,1091,61,5,27,4,3,1,31,M,1st Cycle,Together,Take my money!!
245,1981,37491,10,42,40,30,12,33,22,2,1,59,M,2nd Cycle,Single,OK nice!
246,1956,93840,31,81,1268,61,4,23,6,6,1,26,F,2nd Cycle,Together,OK nice!
247,1938,114125,39,21,1981,35,8,41,5,12,0,12,F,PhD,Together,OK nice!
248,1942,109238,42,60,1858,80,3,15,2,0,1,40,M,Graduation,Widow,OK nice!
249,1989,49953,20,68,347,54,5,29,4,8,1,79,M,Graduation,Single,Meh...
250,1996,22963,11,90,59,2,23,34,18,22,,57,F,1st Cycle,Single,Kind of OK
251,1966,64122,16,83,257,69,0,25,3,3,1,62,F,Graduation,Divorced,Kind of OK
252,1952,72745,23,25,773,70,3,22,3,2,1,25,M,Master,Married,OK nice!
253,1962,66286,16,45,260,71,1,21,4,3,1,54,M,2nd Cycle,Together,Kind of OK
254,1961,80710,14,13,187,91,0,8,0,1,1,65,F,Graduation,Together,Kind of OK
255,1980,44785,5,65,64,21,2,28,30,19,0,21,M,Graduation,Married,Horrible
256,1976,65613,16,50,260,83,1,14,1,1,1,54,F,Master,Married,OK nice!
257,1949,84893,17,3,598,27,13,43,8,9,0,14,F,2nd Cycle,Married,Meh...
258,1939,108668,29,46,1274,32,9,41,14,4,0,22,F,Graduation,Widow,OK nice!
259,1956,81245,23,41,775,29,20,20,19,12,,31,M,2nd Cycle,Married,OK nice!
260,1967,62611,10,65,151,69,3,26,0,1,1,39,M,Graduation,Married,OK nice!
261,1940,104915,38,13,1859,44,10,37,6,3,0,10,F,Graduation,Single,OK nice!
262,1967,81057,25,87,654,73,3,19,2,3,1,61,M,1st Cycle,Together,OK nice!
263,1974,78444,17,84,393,81,0,17,1,1,1,49,M,PhD,Single,Kind of OK
264,1991,20110,12,22,47,11,9,55,12,13,1,66,M,Graduation,Single,Kind of OK
265,1970,83295,22,93,543,44,1,46,3,6,1,64,F,Graduation,Married,OK nice!
266,1970,50933,8,419,18,69,2,26,2,1,1,57,M,Graduation,Single,OK nice!
267,1973,67726,11,88,254,27,27,21,19,5,1,26,M,2nd Cycle,Single,Kind of OK
268,1988,22569,13,50,50,41,5,47,5,3,1,65,M,Master,Married,Meh...
269,1949,87490,19,27,657,14,29,40,6,11,0,17,F,2nd Cycle,Widow,Meh...
270,1983,41980,11,95,183,40,9,33,0,17,0,34,M,Graduation,Together,Kind of OK
271,1958,73751,24,78,776,64,5,25,5,1,0,28,M,Master,Married,Meh...
272,1954,83379,14,13,347,47,14,26,0,13,1,27,F,Graduation,Married,Kind of OK
273,1974,60247,8,56,44,40,6,37,14,3,1,58,M,1st Cycle,Married,Kind of OK
274,1951,80906,28,59,1019,80,2,16,0,2,1,28,F,Graduation,Divorced,Take my money!!
275,1953,88379,25,10,773,58,2,25,14,1,1,40,F,Graduation,Married,Kind of OK
276,1945,103991,30,92,1278,37,2,53,5,3,0,21,M,Graduation,Widow,OK nice!
277,1980,50663,9,85,43,28,10,42,10,10,1,66,F,2nd Cycle,Married,Meh...
278,1975,58432,14,18,153,63,1,28,6,2,1,57,M,Graduation,Together,Kind of OK
279,1943,97834,31,59,1471,36,6,40,5,13,0,9,M,Graduation,Married,Take my money!!
280,1944,109845,35,55,1728,57,3,25,8,7,0,10,M,Graduation,Single,Take my money!!
281,1960,87110,25,58,770,85,1,12,0,2,1,46,M,2nd Cycle,Together,OK nice!
282,1969,62751,22,49,646,48,15,25,5,7,1,30,F,Graduation,Married,Kind of OK
283,1981,33174,15,27,150,68,3,24,2,3,1,72,M,Graduation,Single,Meh...
284,1987,36910,18,90,304,50,3,40,3,4,1,61,M,PhD,Married,Kind of OK
285,1946,123191,42,76,2104,29,8,37,15,11,0,15,M,Graduation,Together,Take my money!!
286,1950,94710,37,63,1528,65,7,25,2,1,1,31,F,Graduation,Married,Take my money!!
287,1977,60114,11,78,154,76,0,16,4,4,1,47,M,Graduation,Married,OK nice!
288,1980,67976,15,56,186,41,3,41,7,8,1,73,M,Master,Married,OK nice!
289,1937,93416,37,70,1727,30,6,43,10,11,0,12,F,2nd Cycle,Together,Take my money!!
290,1957,79902,21,38,709,38,12,35,2,14,1,30,M,Graduation,Married,Meh...
291,1961,81447,23,17,598,79,4,15,1,1,1,60,M,Graduation,Single,OK nice!
292,1995,41067,9,23,32,28,13,16,35,8,1,43,M,1st Cycle,Together,OK nice!
293,1950,97804,32,5,1269,71,2,23,0,3,0,39,F,Graduation,Single,Take my money!!
294,1954,106072,45,8,1984,73,5,21,0,1,1,40,F,Master,Married,Take my money!!
295,1936,110011,30,9,1401,33,15,38,7,7,0,10,M,OldSchool,Widow,Take my money!!
296,1938,123537,35,84,1734,55,2,41,1,1,0,11,M,PhD,Married,Take my money!!
297,1960,86946,24,25,704,89,0,10,0,1,1,50,F,Graduation,Single,Meh...
298,1988,37229,7,80,31,36,1,44,5,15,1,58,M,PhD,Married,OK nice!
299,1976,64355,11,50,40,58,4,28,3,7,1,75,M,2nd Cycle,,Meh...
300,1993,38502,6,45,22,25,39,24,3,9,1,38,M,1st Cycle,Single,OK nice!
301,1993,30011,14,64,120,10,12,55,14,9,0,66,F,2nd Cycle,Single,OK nice!
302,1962,68425,17,97,345,86,0,13,0,0,0,55,M,Master,Married,OK nice!
303,1937,110675,36,31,1726,39,13,37,5,6,0,16,F,Graduation,Married,Take my money!!
304,1988,49372,4,196,18,37,11,18,18,16,1,39,F,1st Cycle,Together,Kind of OK
305,1986,34755,12,49,47,48,6,39,2,5,1,71,M,Graduation,Single,Kind of OK
306,1963,87806,35,79,1340,93,1,5,0,1,1,48,F,2nd Cycle,Married,OK nice!
307,1940,95995,21,33,837,47,7,37,1,8,0,16,M,Graduation,Divorced,Kind of OK
